55.6040	12.6218	198		
55.5964	12.6103	480		
55.5897	12.5996	686		
55.5812	12.5861	785		
55.5704	12.5695	930		
55.5595	12.5554	1.166		
55.5412	12.5542	1.417		
55.5247	12.5753	1.715		
55.5154	12.6217	2.065		
55.5079	12.6877	2.553		
55.4993	12.7627	2.720		
55.4857	12.8837	3.391		
55.4762	12.9376	3.673		
55.4633	12.9770	3.863		
55.4305	13.0579	4.351		
55.4021	13.1282	4.747		
55.3718	13.2040	5.098		
55.3554	13.2490	5.288		
55.3282	13.3265	5.669		
55.3006	13.4041	5.997		
55.2713	13.4861	6.355		
55.2421	13.5677	6.698		
55.2135	13.6474	6.980		
55.1835	13.7309	7.201		
55.1528	13.8156	7.468		
55.1216	13.9018	7.711		
55.0887	13.9924	7.971		
55.0565	14.0804	8.192		
55.0240	14.1693	8.420		
54.9907	14.2597	8.641		
54.9587	14.3463	8.793		
54.9251	14.4369	8.976		
54.8910	14.5288	9.144		
54.8559	14.6227	9.281		
54.8205	14.7172	9.464		
54.7863	14.8080	9.647		
54.7496	14.9054	9.860		
54.7155	14.9955	10.081		
54.6803	15.0881	10.203		
54.6443	15.1824	10.356		
54.6088	15.2750	10.508		
54.5730	15.3682	10.660		
54.5362	15.4633	10.668		
54.5004	15.5557	10.668		
54.4627	15.6525	10.668		
54.4274	15.7429	10.668		
54.3917	15.8339	10.668		
54.3563	15.9241	10.668		
54.3214	16.0123	10.668		
54.2846	16.1051	10.668		
54.2503	16.1917	10.668		
54.2125	16.2863	10.668		
54.1777	16.3731	10.668		
54.1409	16.4645	10.668		
54.1043	16.5555	10.668		
54.0682	16.6445	10.668		
54.0307	16.7369	10.668		
53.9941	16.8267	10.668		
53.9594	16.9113	10.668		
53.9228	17.0003	10.668		
53.8868	17.0875	10.668		
53.8513	17.1736	10.668		
53.8136	17.2643	10.668		
53.7792	17.3469	10.668		
53.7431	17.4333	10.668		
53.7064	17.5208	10.668		
53.6698	17.6077	10.668		
53.6341	17.6924	10.668		
53.5969	17.7802	10.660		
53.5596	17.8678	10.668		
53.5226	17.9546	10.668		
53.4862	18.0395	10.668		
53.4501	18.1236	10.668		
53.4123	18.2114	10.668		
53.3757	18.2959	10.668		
53.3388	18.3811	10.668		
53.3012	18.4672	10.668		
53.2638	18.5529	10.668		
53.2280	18.6347	10.668		
53.1905	18.7198	10.668		
53.1524	18.8062	10.668		
53.1146	18.8916	10.485		
53.0773	18.9756	10.119		
53.0394	19.0605	9.754		
53.0020	19.1441	9.388		
52.9654	19.2258	9.022		
52.9296	19.3053	8.679		
52.8946	19.3829	8.336		
52.8609	19.4572	8.009		
52.8286	19.5284	7.689		
52.7945	19.6033	7.369		
52.7615	19.6755	7.056		
52.7293	19.7459	6.736		
52.7020	19.8066	6.469		
52.6857	19.8480	6.302		
52.6590	19.9243	6.081		
52.6332	19.9984	5.860		
52.6084	20.0694	5.639		
52.5821	20.1446	5.418		
52.5567	20.2167	5.204		
52.5309	20.2903	4.983		
52.5070	20.3578	4.778		
52.4821	20.4294	4.564		
52.4588	20.4964	4.366		
52.4362	20.5614	4.168		
52.4142	20.6241	3.978		
52.3916	20.6883	3.795		
52.3693	20.7515	3.597		
52.3465	20.8163	3.399		
52.3249	20.8773	3.216		
52.3048	20.9339	3.040		
52.2851	20.9892	2.873		
52.2692	21.0252	2.758		
52.2467	21.0503	2.637		
52.2232	21.0704	2.530		
52.1875	21.1010	2.362		
52.1531	21.1305	2.179		
52.1195	21.1597	1.981		
52.0841	21.1909	1.791		
52.0509	21.2199	1.661		
52.0308	21.2372	1.577		
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
